station_name,from_station,to_station,heading_west,travel_time_seconds,distance_km,uuid
Wanstead,C0,C42,True,0,0,32918b45-8124-4c91-bf23-9ae09f165772
Wanstead,C0,C1,True,0,0,9e2879fe-1549-4176-a5f3-96fb9cfe615c
Redbridge,C1,C0,True,0,0,4d58c28e-e16f-4c2a-989a-5d2c113647b5
Redbridge,C1,C2,True,0,0,901c6238-109e-448e-abf7-e7530d8dbe76
Gants Hill,C2,C1,True,0,0,80caf6f3-702a-4059-9160-68b4eac84b2a
Gants Hill,C2,C3,True,0,0,69eb12b3-d6eb-453e-9483-f6bbaaafa66e
Newbury Park,C3,C2,True,0,0,a9aa1784-2c3b-49de-aa4b-c3d3b2cbfe0f
Newbury Park,C3,C4,True,0,0,6d435b6f-d58b-4b1d-a1e3-956e3cc8eeea
Barkingide,C4,C3,True,0,0,ecfa39b9-7c31-4038-9e85-c2a4d6dea3aa
Barkingide,C4,C5,True,0,0,69940d03-22a7-45a7-9d78-6a64f1ca79ad
Fairlop,C5,C4,True,0,0,f7ef7fc1-9d7a-462d-b0ef-f92649301393
Fairlop,C5,C6,True,0,0,5a311766-92df-4f78-b158-bf5e9dc14284
Hainault,C6,C5,True,0,0,80e3c714-984b-4cbb-95f5-8802570ad4f4
Hainault,C6,C7,True,0,0,5651d52f-3565-4a55-82de-23a33189cba7
Grange Hill,C7,C6,True,0,0,a0ad4303-4b3a-4715-9970-a29e460ad3c7
Grange Hill,C7,C8,True,0,0,0daf3f1c-a036-4544-909b-0efa60318bcc
Chigwell,C8,C7,True,0,0,7c6911a2-940a-422e-883b-3d2adec6d9db
Chigwell,C8,C9,True,0,0,08c5686c-6ad3-43f1-a8f2-00f5eeb6a464
Roding Valley,C9,C8,True,0,0,89af7ad2-afde-4da9-80a3-951a3ed955af
Roding Valley,C9,C45,True,0,0,c5e549b1-106b-40f7-aca9-7b8096281f24

Ealing Broadway,C11,C12,False,0,0,edf79e91-544d-4eff-8238-391379d502c5
West Acton,C12,C11,True,0,0,a356b1a0-d0f1-4aa9-8401-3912fd798950
West Acton,C12,C21,False,0,0,89134f4e-495f-4e3b-a3f5-27b76b51a1ad

West Ruislip,C14,C15,False,0,0,49dd1cb6-c545-46a4-a7d0-ebccca849156
Ruislip Gardens,C15,C14,True,0,0,00b932e4-1511-4568-9a6e-f6cfb5f0ed44
Ruislip Gardens,C15,C16,False,0,0,486e1eb1-0887-400b-b54f-65a18d5a14fd
South Ruislip,C16,C15,True,0,0,040fa01e-d1e8-4e15-9973-32728bcab54a
South Ruislip,C16,C17,False,0,0,c36dd892-d925-4f6f-9c79-6d59df61677f
Northholt,C17,C16,True,0,0,f64680f5-3026-4bbb-a2c7-1d349039d40d
Northholt,C17,C18,False,0,0,219f3d6a-32f3-450e-9ba6-23bc09b76ece
Greenford,C18,C17,True,0,0,409513fe-6c9d-404b-b93a-2a559d0afb62
Greenford,C18,C19,False,0,0,6d00de44-d2cd-4310-b174-4e9f2c74acee
Perivale,C19,C18,True,0,0,5861aa52-f116-411d-be7d-730a8913e3ef
Perivale,C19,C20,False,0,0,fb0c1124-d40e-4814-b757-0eaa3da4682e
Hanger Lane,C20,C19,True,0,0,85a7a99a-8cf9-485e-a645-d5fe7895a436
Hanger Lane,C20,C21,False,0,0,1e28cfe9-80be-4acb-844c-4f1c067dded0
North Acton,C21,C20,True,0,0,cf949663-a584-47f9-b723-b635d9568dcf
North Acton,C21,C12,True,0,0,61a8aaa6-bd14-4057-94cf-1f8f841871b8
North Acton,C21,C22,False,0,0,170ae1ad-6eb1-4b3a-94cb-8983af177faf
East Acton,C22,C21,True,0,0,9d604251-3883-4ec6-a3f1-f6507e487f60
East Acton,C22,C23,False,0,0,343f3ce8-8802-45a9-b4ac-802f621561d5
White City,C23,C22,True,0,0,39be43bf-4cb5-4a81-9985-ac3eabc85dc9
White City,C23,C24,False,0,0,29c3d80a-825d-4fab-bf6c-680fae727f24
Shepherds's Bush,C24,C23,True,0,0,7e60703a-4bfc-4ad7-8585-d007295b83f5
Shepherds's Bush,C24,C25,False,0,0,c4e0db5f-ea9b-4606-9f13-e164dc648cb4
Holland Park,C25,C24,True,0,0,f7861d5d-56fc-4f59-bee6-9eeb7182eaf6
Holland Park,C25,C26,False,0,0,74a5b3f0-0bee-45dd-a57a-0210a38a065d
Notting Hill Gate,C26,C25,True,0,0,6159e90a-2657-4da5-b2ac-f3c5a1612023
Notting Hill Gate,C26,C27,False,0,0,0007d8d7-6331-44e8-8de8-f763d5e86623
Queensway,C27,C26,True,0,0,bf091178-9b22-47fd-8cee-545658681159
Queensway,C27,C28,False,0,0,7cb54b4e-036d-48cb-b05d-a271c24bdfa9
Lancaster Gate,C28,C27,True,0,0,b6b2ac83-d244-4da8-afc1-1de3167e207f
Lancaster Gate,C28,C29,False,0,0,eb78a59e-1747-4966-85d5-66a38eafbd22
Marble Arch,C29,C28,True,0,0,f0dbfc12-37fe-467f-a4c2-e8b7b94152c4
Marble Arch,C29,C30,False,0,0,e623bca2-9c66-443c-887a-9e5b1936fede
Bond Street,C30,C29,True,0,0,ea112b99-e32a-427b-aaff-1daa86cfba5e
Bond Street,C30,C31,False,0,0,29adb60a-ed26-442b-a670-daec7bdb3c62
Oxford Circus,C31,C30,True,0,0,238dc275-d4b5-42e6-87ce-d83f0f25c65c
Oxford Circus,C31,C32,False,0,0,71cf194a-c00d-4bc4-846b-9c286d7d0f2c
Tottenham Court Road,C32,C31,True,0,0,c9268966-678c-48c1-802b-543c6e72514f
Tottenham Court Road,C32,C33,False,0,0,508329b3-fd71-4e4f-92a3-da9da226cee9
Holborn,C33,C32,True,0,0,d38b194f-8f79-4a23-a916-f0695d6d5ec9
Holborn,C33,C34,False,0,0,0d78b63e-9fcc-4635-95cb-075cfcc99fcd
Chancery Lane,C34,C33,True,0,0,11b27fe7-5b74-4b90-a47c-a900ce937399
Chancery Lane,C34,C35,False,0,0,3ab39976-c314-4910-95b5-fd7e6b6d4429
St Paul's,C35,C34,True,0,0,5f00782f-8b89-45e9-9596-833eecdeeda5
St Paul's,C35,C36,False,0,0,da4724e0-c1c4-4686-b644-3e71a94130c3
Bank,C36,C35,True,0,0,8eb64c38-b6c9-4e8e-a9d2-8b1babf211a2
Bank,C36,C37,False,0,0,b09f59f2-3fda-4c6b-adad-ce93d408a845
Liverpool Street,C37,C36,True,0,0,d30a904d-28e0-463e-8979-c253afd0d3fb
Liverpool Street,C37,C38,False,0,0,8dd41995-cb42-49b5-b156-dd63ead7ea82
Bethnal Green,C38,C37,True,0,0,952ae55a-ab06-471e-92b7-339aa5f6e103
Bethnal Green,C38,C39,False,0,0,c3a2b865-40f0-4a3a-97af-404915233195
Mile End,C39,C38,True,0,0,ce417dcf-6eb9-4929-b373-b2b20b719914
Mile End,C39,C40,False,0,0,6a820684-8393-4434-b75d-eadf3bd2be9e
Stratford,C40,C39,True,0,0,b439433d-1569-4446-8808-1ad5a2d08025
Stratford,C40,C41,False,0,0,c02b8fee-8562-410c-8774-38607adf4221
Leyton,C41,C40,True,0,0,d8052782-75b2-4466-9a57-d972d075c25d
Leyton,C41,C42,False,0,0,ca6f3c5f-9a80-4230-b458-cc0e95a74d1f
Leytonstone,C42,C41,True,0,0,fb0f1a5b-2ac2-4ed6-a1f8-71601c108a58
