station_name,from_station,to_station,heading_west,travel_time_seconds,distance_km,uuid
Amersham,M0,M3,False,0,0,29bbb2e6-6a99-4a0a-ab64-7a3ad4d1b67a

Chesham,M2,M3,False,0,0,51586c9f-3447-4f11-8504-a3f23ff1cbd5
Chalfont & Latimer,M3,M2,True,0,0,6379ca6d-bbb8-4c35-ac53-74cd1d4eeab4
Chalfont & Latimer,M3,M0,True,0,0,c39e535d-66f1-4642-bf17-1c32c399913c
Chalfont & Latimer,M3,M4,False,0,0,14fd4c29-5b2c-41d4-9856-a9c1ebd8931e
Chorleywood,M4,M3,True,0,0,ba86d842-4893-4b7e-9e76-432dfa0cffaa
Chorleywood,M4,M5,False,0,0,69cc0a51-fded-4105-a524-177b0bcdc96f
Rickmansworth,M5,M4,True,0,0,40772eec-1b59-4c3a-88ce-f626d97ff452
Rickmansworth,M5,M6,False,0,0,a4eb1afe-5353-452d-9e85-c3dc651c7706
Moor Park,M6,M5,True,0,0,6b1a4c68-066b-44eb-ac42-be528676aeed
Moor Park,M6,M26,True,0,0,9d12440a-8de6-40b0-ac35-62d75170e438
Moor Park,M6,M7,False,0,0,8fcc1c47-bcac-4d23-8c5c-b80783231b8c
Northwood,M7,M6,True,0,0,8fd368fa-4e17-422a-9961-f8f4424addc5
Northwood,M7,M8,False,0,0,11b7808f-f455-4a3b-bbdb-d1abcdaf17d0
Northwood Hills,M8,M7,True,0,0,d9bf3724-fe17-4129-ac74-a054b1dc38c1
Northwood Hills,M8,M9,False,0,0,768f5fe3-14ca-4ef0-a28f-d718bf3087fa
Pinner,M9,M8,True,0,0,53003ae9-af65-49f7-96c8-2f884c4569b2
Pinner,M9,M10,False,0,0,57d0221c-7f7a-40fb-91e1-bfdc13c9e516
North Harrow,M10,M9,True,0,0,f555b88f-5c94-4a20-8e60-4c5821a42cf9
North Harrow,M10,M11,False,0,0,47625175-3b8f-4e23-aed1-d0b6ad9076ba
Harrow on the Hill,M11,M10,True,0,0,bdcd1810-86ad-48eb-947a-cb8b563e3fd9
Harrow on the Hill,M11,M35,True,0,0,80708811-4a8e-43b7-9ca5-04800dc52641
Harrow on the Hill,M11,M12,False,0,0,dd53223a-a978-45f4-bc2e-5732783792b0
Northwick Park,M12,M11,True,0,0,fc50b7bf-9f8e-4a29-9f4c-9f65942fe848
Northwick Park,M12,M13,False,0,0,eb5d0b63-65fb-4b70-8ce6-cd394e379911
Preston Road,M13,M12,True,0,0,ed634663-5d80-4b26-b0b1-9da8cc24ba59
Preston Road,M13,M14,False,0,0,07f04a75-a6b4-4d47-a2cb-a8085e3ce49f
Wembley Park,M14,M13,True,0,0,90d660a9-a6a0-4ccc-b20c-76d7a0bcdc84
Wembley Park,M14,M15,False,0,0,2afb97d3-d66f-4084-9de4-c848c777f3c1
Finchley Road,M15,M14,True,0,0,beb02148-633d-400e-b864-d6e474ea24d7
Finchley Road,M15,M16,False,0,0,39c9e2f4-b0df-48a4-9d5f-e11d57627d8b
Baker Street,M16,M15,True,0,0,e1722c00-62f6-4e5c-91ee-f126aaf92004
Baker Street,M16,M17,False,0,0,f58af6e3-8a6c-4eb2-ab9a-56532448d9a7
Great Portland Street,M17,M16,True,0,0,cfb4e41f-7db4-452f-a106-770fdb18cb89
Great Portland Street,M17,M18,False,0,0,abb595b2-390c-4190-9032-2ec20fd1a2ad
Euston Square,M18,M17,True,0,0,fce502cf-20c0-448d-a133-572064b293e1
Euston Square,M18,M19,False,0,0,99d041d0-bda7-4fde-89ac-582a27f6b09b
King's Cross St Pancras,M19,M18,True,0,0,b4a6c905-bfa1-4a6b-9475-79bd3cc827df
King's Cross St Pancras,M19,M20,False,0,0,b3ac115c-4eff-4bbf-b5f7-18299c0c9ef7
Farringdon,M20,M19,True,0,0,9a5ba2f0-82d5-4079-a53f-2fd6a8a5950b
Farringdon,M20,M21,False,0,0,aec852df-04b6-4931-845b-f73597c4ad42
Moorgate,M21,M20,True,0,0,6331b89b-87b9-494d-92e6-b1ad08638df2
Moorgate,M21,M22,False,0,0,e5feb1b6-1bf2-4330-b1b3-c40ba4c50d93
Liverpool Street,M22,M21,True,0,0,4fb6d5b5-92ca-4c24-88c6-24dfeaacb77e
Liverpool Street,M22,M23,False,0,0,0ef9b6a4-aba0-402c-8e87-4377097eb1d4
Aldgate,M23,M22,True,0,0,58173726-171f-42be-87b4-81cb838dd4fc

Watford,M25,M26,True,0,0,461179e1-580f-4a13-91cb-b8fe86c6b485
Croxley,M26,M25,True,0,0,2eae5345-5ecd-405f-9a90-d7c836352390
Croxley,M26,M6,False,0,0,781258e2-d67e-4c93-ab90-b67c93c8916a

Uxbridge,M28,M29,False,0,0,6caa23d8-21e9-4f0e-876a-89af491d5ea6
Hillingdon,M29,M28,True,0,0,14afc946-b8ad-4b73-b03a-d4b20470b307
Hillingdon,M29,M30,False,0,0,4bfeb1ac-245a-4c50-b7eb-59978da15282
Ickenham,M30,M29,True,0,0,75b47d59-3868-4671-9cfd-1dc53e439237
Ickenham,M30,M31,False,0,0,4fa62d98-f5d9-49cb-85a5-e153272b48ce
Ruislip,M31,M30,True,0,0,1002d25a-caac-47ab-b99e-3c9c279fdb43
Ruislip,M31,M32,False,0,0,8e3298e2-c100-48af-9bda-28f866664a3d
