station_name,from_station,to_station,heading_west_or_south,travel_time_seconds,distance_km,uuid
Uxbridge,P0,P1,False,0,0,eeaffde2-e95b-4293-b4f0-ac408a5e4a88
Hillingdon,P1,P0,True,0,0,31916598-5ca5-426f-b06f-4353f1fc739b
Hillingdon,P1,P2,False,0,0,02c4150c-0904-475a-af20-6a75b0a05be7
Ickenham,P2,P1,True,0,0,775f8797-711a-4d0e-9e7a-891d57a30847
Ickenham,P2,P3,False,0,0,adfc890e-0d97-4b06-9e2d-8def70f2f205
Ruislip,P3,P2,True,0,0,bd6cd396-ba4b-4398-9382-1e3c26a032e1
Ruislip,P3,P4,False,0,0,35e52aec-5d20-4680-9d12-25a8d03c1eab
Ruislip Manor,P4,P3,True,0,0,95fd9dc6-5583-459b-b174-540832c961da
Ruislip Manor,P4,P5,False,0,0,11a9c085-96a7-4205-bfd0-3d1ec27477bd
Eastcote,P5,P4,True,0,0,b132f57d-371c-44f1-b156-f024394337ad
Eastcote,P5,P6,False,0,0,0631c369-7f7c-4bc7-b6e5-15bb7480df6a
Rayners Lane,P6,P5,True,0,0,4147f51b-9268-45b4-bbce-cf845c6e7b1d
Rayners Lane,P6,P7,False,0,0,75fe2aa1-99dd-47d8-b2b3-d3daad30437e
South Harrow,P7,P6,True,0,0,a98fa6ff-730b-4721-a684-e82779724285
South Harrow,P7,P8,False,0,0,62374980-14b2-41d6-8eb5-821398e4eb54
Sudbury Hill,P8,P7,True,0,0,ddbbe718-bc3a-401f-82f5-ab4cf5498911
Sudbury Hill,P8,P9,False,0,0,2f052183-afcd-4809-bff4-aceb96ace713
Sudbury Town,P9,P8,True,0,0,eabd5f4d-4644-439d-bef7-ab532f1e60d2
Sudbury Town,P9,P10,False,0,0,65e03d99-7e5b-4281-a105-2695906a73b8
Alperton,P10,P9,True,0,0,920986b6-6ec7-477b-b27d-3e32bd647a89
Alperton,P10,P11,False,0,0,0d913e0b-2ca4-4277-ad18-7305e882f4b1
Park Royal,P11,P10,True,0,0,fc472968-4ddf-4ce2-ae0b-c268854a049a
Park Royal,P11,P12,False,0,0,eb4f41bb-af8d-4195-846d-3e3c9155bbb2
North Ealing,P12,P11,True,0,0,a8994784-83bb-4591-9e65-32a67fcb1a00
North Ealing,P12,P13,False,0,0,fa49e39d-5935-4ab8-8329-a25dcba7cd6e
Ealing Common,P13,P12,True,0,0,08fa6b8a-e670-4474-a0a5-fac38dedf98a
Ealing Common,P13,P27,False,0,0,cf862b8e-d8e4-4ace-837b-a7d2877b3402

Heathrow Terminal 5,P15,P16,False,0,0,e3ec4784-73c3-488a-bf52-f80ff1b01c0b
"Heathrow Terminals 1, 2 & 3",P16,P15,True,0,0,23445a00-9fe0-4e54-9032-fed2f226821d
"Heathrow Terminals 1, 2 & 3",P16,P18,False,0,0,f169b349-302d-46fb-b34b-260327494f42
Heathrow Terminal 4,P17,P16,True,0,0,5f054a1b-c72b-46ab-ba2e-850520c5d575
Hatton Cross,P18,P16,True,0,0,3916b136-5aed-4512-9be2-d108b3db859b
Hatton Cross,P18,P17,True,0,0,47d72a7d-9788-4951-b76a-bbdc192d19ec
Hatton Cross,P18,P19,False,0,0,0da74bc2-36c3-44bd-9bfd-882be3dccb9a
Hounslow West,P19,P18,True,0,0,b197b8f0-8b3e-465d-b29d-a3cd44a0d4a3
Hounslow West,P19,P20,False,0,0,b174b140-2e0b-4bbb-9a60-794e3e5917c9
Hounslow Central,P20,P19,True,0,0,b113071e-26f9-46cb-9158-88a6338ac424
Hounslow Central,P20,P21,False,0,0,9d61265b-823a-44f8-af1e-9cea7b364c3e
Hounslow East,P21,P20,True,0,0,f6be8dd1-8535-46f9-bb31-8b75ebe7fb95
Hounslow East,P21,P22,False,0,0,ddea2ba7-600f-4d92-b34b-6baa680a0a52
Osterley,P22,P21,True,0,0,da04fca1-1f93-43b6-9aba-29705e5f01fb
Osterley,P22,P23,False,0,0,36e9b59b-ae1f-4fe8-b951-3fe9fd92c7d1
Boston Manor,P23,P22,True,0,0,06c89070-3958-4cec-92ac-c072b5088ac6
Boston Manor,P23,P24,False,0,0,4e246248-5093-4fa3-a539-97829a98d13f
Northfields,P24,P23,True,0,0,262ff08f-7c99-48ea-a93b-3f00f95a9bbc
Northfields,P24,P25,False,0,0,38edb575-dd4c-4bb9-9243-4edfe15ca4fb
South Ealing,P25,P24,True,0,0,c51fdaff-d206-4c52-b11d-64bd0540f83a
South Ealing,P25,P27,False,0,0,5ae4fa07-818d-43f9-b0de-27d869642815

Acton Town,P27,P25,True,0,0,e14461b7-b5f5-4044-9346-321ae647c386
Acton Town,P27,P13,True,0,0,211fa79d-f8d0-4841-91c0-ad65ccb53606
Acton Town,P27,P28,False,0,0,b21a4dda-5811-45f4-9bf8-91a8e85f9e43
Turnham Green,P28,P27,True,0,0,e9fd9cbe-eb17-4c00-81de-74aa2809bcdb
Turnham Green,P28,P29,False,0,0,18d288d4-7449-4c80-a00c-58a84ad41981
Hammersmith,P29,P28,True,0,0,4c063910-fb83-48db-8635-851fe48bee4a
Hammersmith,P29,P30,False,0,0,cec88961-4355-4f25-9d3f-369e30591fb6
Barons Court,P30,P29,True,0,0,6046de65-2c20-4b39-b02e-fd0362087b17
Barons Court,P30,P31,False,0,0,f5d20ba8-0b3f-4863-80d9-5962a07cf021
Earl's Court,P31,P30,True,0,0,a3878c2d-3206-440e-acb2-2fe4e0a40cb6
Earl's Court,P31,P32,False,0,0,669c0f7e-51d7-41d9-9044-adc0c5d8a924
Gloucester Road,P32,P31,True,0,0,5125794e-82ee-442c-94dd-19e2ea15ad3b
Gloucester Road,P32,P33,False,0,0,7409255d-3255-4a9b-bdac-d53a2f87f345
South Kensington,P33,P32,True,0,0,2be95ba1-5ef8-49ed-8f0a-104cceec7466
South Kensington,P33,P34,False,0,0,fd2e618e-7970-410a-8cec-a435140c94c8
Knightsbridge,P34,P33,True,0,0,de72235d-8ebf-4f15-b6c2-e33811b8ea59
Knightsbridge,P34,P35,False,0,0,d287512b-0228-47e9-b3b7-656c9811569d
Hyde Park Corner,P35,P34,True,0,0,4e06a38d-78e1-493f-822b-84c4950cf22b
Hyde Park Corner,P35,P36,False,0,0,a09b670f-2483-4f72-b1eb-8c5080a878c0
Green Park,P36,P35,True,0,0,3f307d57-354b-460d-8be4-ce1212bcd9f7
Green Park,P36,P37,False,0,0,dbeb81a6-af83-4df5-9f98-6aaf3b61979f
Piccadilly Circus,P37,P36,True,0,0,f0fa06dd-cc18-4dc1-aedb-048345856c3a
Piccadilly Circus,P37,P38,False,0,0,15ad5dce-efec-4b4e-9427-ae6fd9b81066
Leicester Square,P38,P37,True,0,0,677ec2dd-4316-49f9-b571-1e938d6851f4
Leicester Square,P38,P39,False,0,0,4fe4716b-78e1-48e8-9285-3ba91922ca53
Covent Garden,P39,P38,True,0,0,b6cf6a7a-c296-4f77-b48d-b28bc253b4f9
Covent Garden,P39,P40,False,0,0,4492a346-fa9c-4b22-ba64-d9924cd0bb56
Holborn,P40,P39,True,0,0,d442166f-1057-4fe9-a588-cec97145a977
