station_name,end_of_line,tube_line_identifier
Harrow and Wealdstone,True,B0
Kenton,False,B1
South Kenton,False,B2
North Wembley,False,B3
Wembley Central,False,B4
Stonebridge Park,False,B5
Harlesden,False,B6
Wilesden Juction,False,B7
Kensal Green,False,B8
Queens Park,False,B9
Kilburn Park,False,B10
Maida Vale,False,B11
Warwick Avenue,False,B12
Paddington,False,B13
Edgware Road,False,B14
Marylebone,False,B15
Baker Street,False,B16
Regent's Park,False,B17
Oxford Circus,False,B18
Piccadilly Circus,False,B19
Charing Cross,False,B20
Embankment,False,B21
Waterloo,False,B22
Lambeth North,False,B23
Elephant and Castle,True,B24
