station_name,end_of_line,tube_line_identifier
Wanstead,False,C0
Redbridge,False,C1
Gants Hill,False,C2
Newbury Park,False,C3
Barkingide,False,C4
Fairlop,False,C5
Hainault,False,C6
Grange Hill,False,C7
Chigwell,False,C8
Roding Valley,False,C9

Ealing Broadway,True,C11
West Acton,False,C12

West Ruislip,True,C14
Ruislip Gardens,False,C15
South Ruislip,False,C16
Northholt,False,C17
Greenford,False,C18
Perivale,False,C19
Hanger Lane,False,C20
North Acton,False,C21
East Acton,False,C22
White City,False,C23
Shepherds's Bush,False,C24
Holland Park,False,C25
Notting Hill Gate,False,C26
Queensway,False,C27
Lancaster Gate,False,C28
Marble Arch,False,C29
Bond Street,False,C30
Oxford Circus,False,C31
Tottenham Court Road,False,C32
Holborn,False,C33
Chancery Lane,False,C34
St Paul's,False,C35
Bank,False,C36
Liverpool Street,False,C37
Bethnal Green,False,C38
Mile End,False,C39
Stratford,False,C40
Leyton,False,C41
Leytonstone,False,C42
Snaresbrook,False,C43
South Woodford,False,C44
Woodford,False,C45
Buckhurst Hill,False,C46
Loughton,False,C47
Debden,False,C48
Theydon Bois,False,C49
Epping,True,C50
