station_name,end_of_line,tube_line_identifier
Stanmore,True,J0
Canons Park,False,J1
Queensbury,False,J2
Kingsbury,False,J3
Wembley Park,False,J4
Neasden,False,J5
Dollis Hill,False,J6
Wilesden Green,False,J7
Kilburn,False,J8
West Hampstead,False,J9
Finchley Road,False,J10
Swiss Cottage,False,J11
St. John's Wood,False,J12
Baker Street,False,J13
Bond Street,False,J14
Green Park,False,J15
Westminster,False,J16
Waterloo,False,J17
Southwark,False,J18
London Bridge,False,J19
Bermondsey,False,J20
Canada Water,False,J21
Canary Wharf,False,J22
North Greenwich,False,J23
Canning Town,False,J24
West Ham,False,J25
Stratford,True,J26
