station_name,location,year_opened,wiggle_ranking
Acton Town,"[lon, lat]",0,0.0
Aldgate,"[lon, lat]",0,0.0
Aldgate East,"[lon, lat]",0,0.0
Alperton,"[lon, lat]",0,0.0
Amersham,"[lon, lat]",0,0.0
Angel,"[lon, lat]",0,0.0
Archway,"[lon, lat]",0,0.0
Arnos Grove,"[lon, lat]",0,0.0
Arsenal,"[lon, lat]",0,0.0
Baker Street,"[lon, lat]",0,0.0
Balham,"[lon, lat]",0,0.0
Bank,"[lon, lat]",0,0.0
Barbican,"[lon, lat]",0,0.0
Barking,"[lon, lat]",0,0.0
Barkingide,"[lon, lat]",0,0.0
Barons Court,"[lon, lat]",0,0.0
Battersea Power Station,"[lon, lat]",0,0.0
Bayswater,"[lon, lat]",0,0.0
Becontree,"[lon, lat]",0,0.0
Belsize Park,"[lon, lat]",0,0.0
Bermondsey,"[lon, lat]",0,0.0
Bethnal Green,"[lon, lat]",0,0.0
Blackfriars,"[lon, lat]",0,0.0
Blackhorse Road,"[lon, lat]",0,0.0
Bond Street,"[lon, lat]",0,0.0
Borough,"[lon, lat]",0,0.0
Boston Manor,"[lon, lat]",0,0.0
Bounds Green,"[lon, lat]",0,0.0
Bow Road,"[lon, lat]",0,0.0
Brent Cross,"[lon, lat]",0,0.0
Brixton,"[lon, lat]",0,0.0
Bromley-by-Bow,"[lon, lat]",0,0.0
Buckhurst Hill,"[lon, lat]",0,0.0
Burnt Oak,"[lon, lat]",0,0.0
Caledonian Road,"[lon, lat]",0,0.0
Camden Town,"[lon, lat]",0,0.0
Canada Water,"[lon, lat]",0,0.0
Canary Wharf,"[lon, lat]",0,0.0
Canning Town,"[lon, lat]",0,0.0
Cannon Street,"[lon, lat]",0,0.0
Canons Park,"[lon, lat]",0,0.0
Chalfont & Latimer,"[lon, lat]",0,0.0
Chalk Farm,"[lon, lat]",0,0.0
Chancery Lane,"[lon, lat]",0,0.0
Charing Cross,"[lon, lat]",0,0.0
Chesham,"[lon, lat]",0,0.0
Chigwell,"[lon, lat]",0,0.0
Chiswick Park,"[lon, lat]",0,0.0
Chorleywood,"[lon, lat]",0,0.0
Clapham Common,"[lon, lat]",0,0.0
Clapham North,"[lon, lat]",0,0.0
Clapham South,"[lon, lat]",0,0.0
Cockfosters,"[lon, lat]",0,0.0
Colindale,"[lon, lat]",0,0.0
Colliers Wood,"[lon, lat]",0,0.0
Covent Garden,"[lon, lat]",0,0.0
Croxley,"[lon, lat]",0,0.0
Dagenham East,"[lon, lat]",0,0.0
Dagenham Heathway,"[lon, lat]",0,0.0
Debden,"[lon, lat]",0,0.0
Dollis Hill,"[lon, lat]",0,0.0
Ealing Broadway,"[lon, lat]",0,0.0
Ealing Common,"[lon, lat]",0,0.0
Earl's Court,[51.490616 0.195848],1869,8.6
East Acton,"[lon, lat]",0,0.0
East Finchley,"[lon, lat]",0,0.0
East Ham,"[lon, lat]",0,0.0
East Putney,"[lon, lat]",0,0.0
Eastcote,"[lon, lat]",0,0.0
Edgware,"[lon, lat]",0,0.0
Edgware Road,"[lon, lat]",0,0.0
Elephant & Castle,"[lon, lat]",0,0.0
Elephant and Castle,"[lon, lat]",0,0.0
Elm Park,"[lon, lat]",0,0.0
Embankment,"[lon, lat]",0,0.0
Epping,"[lon, lat]",0,0.0
Euston,"[lon, lat]",0,0.0
Euston Square,"[lon, lat]",0,0.0
Fairlop,"[lon, lat]",0,0.0
Farringdon,"[lon, lat]",0,0.0
Finchley Central,"[lon, lat]",0,0.0
Finchley Road,"[lon, lat]",0,0.0
Finsbury Park,"[lon, lat]",0,0.0
Fulham Broadway,"[lon, lat]",0,0.0
Gants Hill,"[lon, lat]",0,0.0
Gloucester Road,"[lon, lat]",0,0.0
Golders Green,"[lon, lat]",0,0.0
Goldhawk Road,"[lon, lat]",0,0.0
Goodge Street,"[lon, lat]",0,0.0
Grange Hill,"[lon, lat]",0,0.0
Great Portland Street,"[lon, lat]",0,0.0
Green Park,"[lon, lat]",0,0.0
Greenford,"[lon, lat]",0,0.0
Gunnersbury,"[lon, lat]",0,0.0
Hainault,"[lon, lat]",0,0.0
Hammersmith,"[lon, lat]",0,0.0
Hampstead,"[lon, lat]",0,0.0
Hanger Lane,"[lon, lat]",0,0.0
Harlesden,"[lon, lat]",0,0.0
Harrow and Wealdstone,"[lon, lat]",0,0.0
Harrow on the Hill,"[lon, lat]",0,0.0
Hatton Cross,"[lon, lat]",0,0.0
Heathrow Terminal 4,"[lon, lat]",0,0.0
Heathrow Terminal 5,"[lon, lat]",0,0.0
"Heathrow Terminals 1, 2 & 3","[lon, lat]",0,0.0
