station_name,end_of_line,tube_line_identifier
Amersham,True,M0

Chesham,True,M2
Chalfont & Latimer,False,M3
Chorleywood,False,M4
Rickmansworth,False,M5
Moor Park,False,M6
Northwood,False,M7
Northwood Hills,False,M8
Pinner,False,M9
North Harrow,False,M10
Harrow on the Hill,False,M11
Northwick Park,False,M12
Preston Road,False,M13
Wembley Park,False,M14
Finchley Road,False,M15
Baker Street,False,M16
Great Portland Street,False,M17
Euston Square,False,M18
King's Cross St Pancras,False,M19
Farringdon,False,M20
Moorgate,False,M21
Liverpool Street,False,M22
Aldgate,True,M23

Watford,True,M25
Croxley,False,M26

Uxbridge,True,M28
Hillingdon,False,M29
Ickenham,False,M30
Ruislip,False,M31
Ruislip Manor,False,M32
Eastcote,False,M33
Rayners Lane,False,M34
West Harrow,False,M35
