station_name,end_of_line,tube_line_identifier
Uxbridge,True,P0
Hillingdon,False,P1
Ickenham,False,P2
Ruislip,False,P3
Ruislip Manor,False,P4
Eastcote,False,P5
Rayners Lane,False,P6
South Harrow,False,P7
Sudbury Hill,False,P8
Sudbury Town,False,P9
Alperton,False,P10
Park Royal,False,P11
North Ealing,False,P12
Ealing Common,False,P13

Heathrow Terminal 5,True,P15
"Heathrow Terminals 1, 2 & 3",False,P16
Heathrow Terminal 4,False,P17
Hatton Cross,False,P18
Hounslow West,False,P19
Hounslow Central,False,P20
Hounslow East,False,P21
Osterley,False,P22
Boston Manor,False,P23
Northfields,False,P24
South Ealing,False,P25

Acton Town,False,P27
Turnham Green,False,P28
Hammersmith,False,P29
Barons Court,False,P30
Earl's Court,False,P31
Gloucester Road,False,P32
South Kensington,False,P33
Knightsbridge,False,P34
Hyde Park Corner,False,P35
Green Park,False,P36
Piccadilly Circus,False,P37
Leicester Square,False,P38
Covent Garden,False,P39
Holborn,False,P40
Russell Square,False,P41
King's Cross St Pancras,False,P42
Caledonian Road,False,P43
Holloway Road,False,P44
Arsenal,False,P45
Finsbury Park,False,P46
Manor House,False,P47
Turnpike Lane,False,P48
Wood Green,False,P49
Bounds Green,False,P50
Arnos Grove,False,P51
Southgate,False,P52
Oakwood,False,P53
Cockfosters,True,P54
